Name,Team,Game,W,IP,TBF,Ha,1B,2B,3B,HR,BBa,K,Yahoo,Fanduel,DraftKings
Hector Neris, Phillies, WSH @ PHI, .00, .17, .69, .14, .10, .03, .00, .02, .07, .00, -.33, .78, .43
Rowan Wick, Cubs, CHC @ PIT, .00, .18, .77, .18, .12, .04, .00, .01, .07, .00, -.39, .79, .42
Ross Detwiler, White Sox, CWS @ KC, .00, .18, .75, .17, .11, .04, .00, .02, .06, .00, -.35, .74, .40
Ryne Harper, Nationals, WSH @ PHI, .00, .17, .75, .19, .11, .04, .00, .03, .05, .00, -.40, .74, .39
Nik Turley, Pirates, CHC @ PIT, .00, .17, .76, .15, .09, .04, .00, .01, .11, .00, -.42, .74, .38
Jace Fry, White Sox, CWS @ KC, .00, .17, .79, .17, .11, .04, .00, .01, .12, .00, -.47, .75, .37
Jordan Romano, Blue Jays, TOR @ BOS, .00, .15, .66, .15, .08, .03, .00, .02, .08, .00, -.37, .73, .39
Duane Underwood Jr., Cubs, CHC @ PIT, .00, .16, .68, .16, .10, .04, .01, .02, .06, .00, -.35, .73, .39
Michael King, Yankees, NYY @ NYM, .00, .18, .79, .19, .12, .04, .00, .03, .07, .00, -.41, .73, .38
Matt Foster, White Sox, CWS @ KC, .00, .16, .70, .15, .10, .03, .00, .01, .09, .00, -.36, .72, .38
Dylan Floro, Dodgers, ARI @ LAD, .00, .16, .67, .15, .11, .03, .00, .01, .05, .00, -.29, .71, .39
Matt Barnes, Red Sox, TOR @ BOS, .00, .13, .57, .11, .06, .02, .00, .02, .10, .00, -.32, .71, .38
Adam Ottavino, Yankees, NYY @ NYM, .00, .13, .54, .10, .07, .02, .00, .01, .07, .00, -.24, .68, .38
Kyle Ryan, Cubs, CHC @ PIT, .00, .17, .74, .18, .13, .03, .00, .01, .07, .00, -.39, .66, .33
Tyler Zuber, Royals, CWS @ KC, .00, .15, .69, .16, .10, .04, .00, .02, .09, .00, -.42, .65, .32
Jimmy Herget, Rangers, TEX @ HOU, .00, .18, .81, .18, .12, .04, .00, .03, .12, .00, -.47, .66, .30
Shun Yamaguchi, Blue Jays, TOR @ BOS, .00, .16, .75, .18, .11, .04, .00, .02, .11, .00, -.46, .64, .29
Jake McGee, Dodgers, ARI @ LAD, .00, .12, .49, .10, .06, .02, .00, .02, .04, .00, -.23, .59, .34
