Name,Team,Game,W,IP,TBF,Ha,1B,2B,3B,HR,BBa,K,Yahoo,Fanduel,DraftKings
Garrett Richards, Padres, SD @ LAA, .00, .01, .03, .00, .00, .00, .00, .00, .00, .00, -.01, .04, .03
Masahiro Tanaka, Yankees, NYY @ NYM, .00, .01, .03, .01, .01, .00, .00, .00, .00, .00, -.01, .04, .02
Julio Teheran, Angels, SD @ LAA, .00, .01, .04, .01, .01, .00, .00, .00, .01, .00, -.03, .04, .02
Griffin Canning, Angels, SD @ LAA, .00, .01, .04, .01, .01, .00, .00, .00, .00, .00, -.03, .04, .02
Michel Baez, Padres, SD @ LAA, .00, .01, .03, .01, .00, .00, .00, .00, .00, .00, -.02, .04, .02
Adrian Morejon, Padres, SD @ LAA, .00, .01, .03, .01, .00, .00, .00, .00, .01, .00, -.01, .03, .02
Jose Suarez, Angels, SD @ LAA, .00, .01, .03, .00, .00, .00, .00, .00, .00, .00, -.01, .03, .02
Patrick Sandoval, Angels, SD @ LAA, .00, .01, .03, .00, .00, .00, .00, .00, .00, .00, -.01, .03, .01
Robbie Ray, Blue Jays, ARI @ LAD, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .02
Zach Davies, Padres, SD @ LAA, .00, .01, .03, .01, .00, .00, .00, .00, .00, .00, -.01, .03, .01
Luis Perdomo, Padres, SD @ LAA, .00, .01, .03, .01, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Brady Singer, Royals, CWS @ KC, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Cristian Javier, Astros, TEX @ HOU, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .02, .01
Brad Keller, Royals, CWS @ KC, .00, .01, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Matt Harvey, Royals, CWS @ KC, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Ross Stripling, Blue Jays, ARI @ LAD, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Framber Valdez, Astros, TEX @ HOU, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Jordan Lyles, Rangers, TEX @ HOU, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Josh James, Astros, TEX @ HOU, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Kyle Hendricks, Cubs, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .02, .01
Cionel Perez, Astros, TEX @ HOU, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Mike Minor, Athletics, TEX @ HOU, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .02, .01
Dustin May, Dodgers, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .02, .01
Adam Kolarek, Dodgers, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .02, .01
Walker Buehler, Dodgers, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .02, .01
Yu Darvish, Cubs, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Nick Mears, Pirates, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Victor Gonzalez, Dodgers, ARI @ LAD, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Lance McCullers Jr., Astros, TEX @ HOU, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Kyle Cody, Rangers, TEX @ HOU, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Kyle Zimmer, Royals, CWS @ KC, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Kris Bubic, Royals, CWS @ KC, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Zac Gallen, Diamondbacks, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Julio Urias, Dodgers, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Patrick Corbin, Nationals, WSH @ PHI, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Merrill Kelly, Diamondbacks, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Colin Rea, Cubs, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Brandon Bielak, Astros, TEX @ HOU, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Max Scherzer, Nationals, WSH @ PHI, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Nathan Eovaldi, Red Sox, TOR @ BOS, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Reynaldo Lopez, White Sox, CWS @ KC, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .01
Steven Brault, Pirates, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .01
Alex Young, Diamondbacks, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Reggie McClain, Phillies, WSH @ PHI, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Chad Kuhl, Pirates, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Erick Fedde, Nationals, WSH @ PHI, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Randy Rosario, Royals, CWS @ KC, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Kyle Gibson, Rangers, TEX @ HOU, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Matt Grace, Diamondbacks, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Derek Holland, Pirates, CHC @ PIT, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Dallas Keuchel, White Sox, CWS @ KC, .00, .00, .02, .01, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Kolby Allard, Rangers, TEX @ HOU, .00, .00, .02, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Matt Shoemaker, Blue Jays, TOR @ BOS, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Hyun-Jin Ryu, Blue Jays, TOR @ BOS, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Brandon Waddell, Pirates, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Josh Sborz, Dodgers, ARI @ LAD, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .01, .00
Austin Voth, Nationals, WSH @ PHI, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Trevor Williams, Pirates, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .01, .00
Wilmer Font, Blue Jays, TOR @ BOS, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00
Tanner Roark, Blue Jays, TOR @ BOS, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00
Zack Godley, Red Sox, TOR @ BOS, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00
Kyle Hart, Red Sox, TOR @ BOS, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00
Jason Adam, Cubs, CHC @ PIT, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00
Jon Lester, Cubs, CHC @ PIT, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00
Ryan Weber, Red Sox, TOR @ BOS, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00, .00
Chase Anderson, Blue Jays, TOR @ BOS, .00, .00, .01, .00, .00, .00, .00, .00, .00, .00, -.01, .00, .00
