PG,SG,SF,PF,C,G,F,UTIL,
Goran Dragic (15066587),Aaron Holiday (15066648),Kawhi Leonard (15066476),Jakarr Sampson (15066850),Bam Adebayo (15066512),Reggie Jackson (15066621),Justin Holiday (15066718),James Harden (15066467),281.5
T.J. McConnell (15066738),James Harden (15066467),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Michael Porter Jr. (15066514),Paul George (15066489),285.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Jimmy Butler (15066507),Paul George (15066489),James Harden (15066467),287.4
Aaron Holiday (15066648),James Harden (15066467),Doug McDermott (15066762),Michael Porter Jr. (15066514),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Paul George (15066489),285.4
Lou Williams (15066578),James Harden (15066467),Jimmy Butler (15066507),Danilo Gallinari (15066552),Bam Adebayo (15066512),T.J. McConnell (15066738),Justin Holiday (15066718),Aaron Holiday (15066648),283.7
James Harden (15066467),Aaron Holiday (15066648),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),Justin Holiday (15066718),Jimmy Butler (15066507),T.J. McConnell (15066738),287.4
James Harden (15066467),Aaron Holiday (15066648),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Michael Porter Jr. (15066514),Paul George (15066489),285.4
James Harden (15066467),Jimmy Butler (15066507),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),T.J. McConnell (15066738),287.4
T.J. McConnell (15066738),Victor Oladipo (15066556),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),Aaron Holiday (15066648),Kawhi Leonard (15066476),James Harden (15066467),284.7
T.J. McConnell (15066738),James Harden (15066467),Michael Porter Jr. (15066514),Jakarr Sampson (15066850),Bam Adebayo (15066512),Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),284.4
T.J. McConnell (15066738),Justin Holiday (15066718),Doug McDermott (15066762),Michael Porter Jr. (15066514),Bam Adebayo (15066512),Aaron Holiday (15066648),Paul George (15066489),James Harden (15066467),285.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Paul George (15066489),Jakarr Sampson (15066850),Bam Adebayo (15066512),Justin Holiday (15066718),Jimmy Butler (15066507),James Harden (15066467),286.4
Aaron Holiday (15066648),James Harden (15066467),Justin Holiday (15066718),Michael Porter Jr. (15066514),Bam Adebayo (15066512),T.J. McConnell (15066738),Doug McDermott (15066762),Paul George (15066489),285.4
T.J. McConnell (15066738),Aaron Holiday (15066648),Jimmy Butler (15066507),Doug McDermott (15066762),Bam Adebayo (15066512),Justin Holiday (15066718),Paul George (15066489),James Harden (15066467),287.4
Aaron Holiday (15066648),Justin Holiday (15066718),Paul George (15066489),Doug McDermott (15066762),Bam Adebayo (15066512),James Harden (15066467),Jimmy Butler (15066507),T.J. McConnell (15066738),287.4
Aaron Holiday (15066648),Jimmy Butler (15066507),Justin Holiday (15066718),Doug McDermott (15066762),Bam Adebayo (15066512),T.J. McConnell (15066738),Paul George (15066489),James Harden (15066467),287.4
