Name,FP,Price,Completions/Attempts,PassYards,PassTDs,INTs,Rushes,RushYds,RushTDs,Targets,Receptions,RecYards,RecTDs
Dante Pettis,0.7,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,3.07,0.02,0.38
Trevon Wesco,0.6,2500,0.000.00,0.00,0.00,0.00,0.04,0.19,0.00,0.23,2.24,0.02,0.34
Jacoby Brissett,0.5,4400,0.000.00,0.00,0.00,0.00,0.63,2.68,0.04,0.00,0.00,0.00,0.00
Royce Freeman,0.4,4000,0.000.00,0.00,0.00,0.00,0.37,1.48,0.01,0.11,0.70,0.00,0.16
Tyron Johnson,0.3,3000,0.000.00,0.00,0.00,0.00,0.26,1.55,0.01,0.05,0.65,0.00,0.08
Vyncint Smith,0.3,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.31,0.01,0.18
Geoff Swaim,0.3,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,1.09,0.01,0.18
Marquez Callaway,0.3,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.13,0.01,0.16
T.J. Yeldon,0.3,4000,0.000.00,0.00,0.00,0.00,0.13,0.53,0.00,0.08,0.60,0.01,0.11
Dontrell Hilliard,0.2,4000,0.000.00,0.00,0.00,0.00,0.19,0.82,0.01,0.05,0.36,0.00,0.06
Ashton Dulin,0.2,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.89,0.01,0.12
C.J. Board,0.2,3000,0.000.00,0.00,0.00,0.00,0.14,0.73,0.01,0.04,0.51,0.00,0.07
Trenton Cannon,0.2,4000,0.000.00,0.00,0.00,0.00,0.12,0.51,0.00,0.09,0.61,0.00,0.11
Noah Togiai,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.65,0.01,0.09
Deon Yelder,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.58,0.01,0.08
Jalen Richard,0.2,4000,0.000.00,0.00,0.00,0.00,0.06,0.25,0.00,0.08,0.66,0.00,0.10
Virgil Green,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.58,0.01,0.07
Jaeden Graham,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.58,0.01,0.08
Reggie Gilliam,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.56,0.01,0.08
Ricky Seals-Jones,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.55,0.01,0.08
Derek Carrier,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.51,0.01,0.07
Mike Boone,0.2,4000,0.000.00,0.00,0.00,0.00,0.17,0.74,0.00,0.05,0.35,0.00,0.07
Tommy Sweeney,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.52,0.01,0.07
LeSean McCoy,0.2,4000,0.000.00,0.00,0.00,0.00,0.06,0.27,0.00,0.07,0.49,0.00,0.10
Lee Smith,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.43,0.01,0.07
Stephen Carlson,0.2,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.46,0.01,0.06
Austin Walter,0.1,4000,0.000.00,0.00,0.00,0.00,0.08,0.32,0.00,0.06,0.49,0.00,0.09
Mike Thomas,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.75,0.00,0.10
Qadree Ollison,0.1,4000,0.000.00,0.00,0.00,0.00,0.08,0.33,0.00,0.06,0.42,0.00,0.08
Pharoh Cooper,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.65,0.00,0.09
Brandon Zylstra,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.71,0.00,0.09
Darwin Thompson,0.1,4000,0.000.00,0.00,0.00,0.00,0.05,0.20,0.00,0.06,0.37,0.00,0.08
Ke'Shawn Vaughn,0.1,4000,0.000.00,0.00,0.00,0.00,0.06,0.25,0.00,0.06,0.38,0.00,0.08
Taiwan Jones,0.1,4000,0.000.00,0.00,0.00,0.00,0.05,0.21,0.00,0.05,0.40,0.00,0.07
Elijhaa Penny,0.1,4000,0.000.00,0.00,0.00,0.00,0.06,0.23,0.00,0.05,0.37,0.00,0.07
Trent Sherfield,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.58,0.00,0.07
Senorise Perry,0.1,4000,0.000.00,0.00,0.00,0.00,0.05,0.22,0.00,0.05,0.35,0.00,0.07
J.J. Taylor,0.1,4000,0.000.00,0.00,0.00,0.00,0.06,0.23,0.00,0.05,0.35,0.00,0.07
Chris Hogan,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.60,0.00,0.09
Keith Kirkwood,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.60,0.00,0.08
Ty Montgomery,0.1,4000,0.000.00,0.00,0.00,0.00,0.06,0.25,0.00,0.04,0.33,0.00,0.06
Antony Auclair,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.50,0.00,0.08
Johnny Mundt,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.48,0.00,0.07
Tanner Hudson,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.51,0.00,0.08
Devin Asiasi,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.49,0.00,0.07
Darrell Daniels,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.52,0.00,0.07
Stephen Anderson,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.52,0.00,0.07
Jaydon Mickens,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.51,0.00,0.08
Justin Watson,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.51,0.00,0.08
Dwayne Washington,0.1,4000,0.000.00,0.00,0.00,0.00,0.06,0.25,0.00,0.04,0.31,0.00,0.06
Tyler Davis,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.51,0.00,0.08
KeeSean Johnson,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.54,0.00,0.07
D'Ernest Johnson,0.1,4000,0.000.00,0.00,0.00,0.00,0.07,0.31,0.00,0.04,0.33,0.00,0.06
Tajae Sharpe,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.46,0.00,0.06
Daniel Brown,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.42,0.00,0.07
Taywan Taylor,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.50,0.00,0.06
Andre Roberts,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.47,0.00,0.07
Gunner Olszewski,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.48,0.00,0.07
Diontae Spencer,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.49,0.00,0.07
Tyrie Cleveland,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.50,0.00,0.07
River Cracraft,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.54,0.00,0.07
Cethan Carter,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.47,0.00,0.07
Isaiah Ford,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.47,0.00,0.07
Levine Toilolo,0.1,2500,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.50,0.00,0.07
Chandler Cox,0.1,4000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.32,0.00,0.06
Bennie Fowler,0.1,3000,0.000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.39,0.00,0.06
Jonathan Ward,0.1,4000,0.000.00,0.00,0.00,0.00,0.06,0.23,0.00,0.03,0.20,0.00,0.04
Eno Benjamin,0.1,4000,0.000.00,0.00,0.00,0.00,0.06,0.23,0.00,0.03,0.20,0.00,0.04
Nathan Cottrell,0.1,4000,0.000.00,0.00,0.00,0.00,0.02,0.09,0.00,0.03,0.20,0.00,0.04
Jeremy Cox,0.1,4000,0.000.00,0.00,0.00,0.00,0.05,0.20,0.00,0.02,0.17,0.00,0.04
