Name,FP,Price,Mins,Pts,Rebs,Ast,Stl,Blk,TO
Semi Ojeleye,6.0,3500,11.54,2.8,1.6,0.4,0.2,0.1,0.2
Matt Thomas,3.5,3500,4.54,1.7,0.7,0.4,0.2,0.0,0.2
Justin Anderson,3.5,3500,4.24,1.3,0.9,0.3,0.1,0.2,0.2
Lance Thomas,2.2,3500,5.36,1.1,0.8,0.3,0.0,0.0,0.3
Bol Bol,2.2,3500,2.09,0.9,0.6,0.1,0.0,0.2,0.2
Jose Juan Barea,0.7,3500,0.68,0.4,0.1,0.2,0.0,0.0,0.1
Tremont Waters,0.7,3500,0.69,0.2,0.1,0.1,0.1,0.0,0.1
Donta Hall,0.6,3500,0.61,0.2,0.2,0.0,0.0,0.1,0.1
Norvel Pelle Jr.,0.6,3500,0.51,0.1,0.2,0.0,0.0,0.1,0.0
Patrick Patterson,0.6,3500,0.71,0.3,0.1,0.1,0.0,0.0,0.0
Josh Reaves,0.6,3500,0.84,0.3,0.1,0.1,0.0,0.0,0.0
Kyle O'Quinn,0.5,3500,0.49,0.1,0.2,0.1,0.0,0.0,0.0
Joakim Noah,0.4,3500,0.28,0.1,0.2,0.1,0.0,0.0,0.1
Stanley Johnson,0.4,3600,0.40,0.2,0.1,0.1,0.0,0.0,0.1
Raul Neto,0.4,3500,0.46,0.2,0,0.1,0.0,0.0,0.0
Ed Davis,0.3,3500,0.35,0.1,0.2,0.0,0.0,0.0,0.0
Noah Vonleh,0.3,3500,0.35,0.1,0.2,0.0,0.0,0.0,0.0
Michael Kidd-Gilchrist,0.3,3500,0.71,0.2,0.1,0.0,0.0,0.0,0.0
Justin Jackson,0.3,3500,0.57,0.2,0.1,0.0,0.0,0.0,0.0
Carsen Edwards,0.3,3500,0.50,0.2,0.1,0.0,0.0,0.0,0.0
Keita Bates-Diop,0.3,3500,0.64,0.2,0.1,0.0,0.0,0.0,0.0
Javonte Green,0.3,3500,0.52,0.2,0.1,0.0,0.0,0.0,0.0
Terance Mann,0.3,3500,0.21,0.0,0.1,0.1,0.0,0.0,0.0
Miye Oni,0.2,3500,0.28,0.1,0.1,0.0,0.0,0.0,0.0
Juwan Morgan,0.2,3500,0.24,0.1,0.1,0.0,0.0,0.0,0.0
Malcolm Miller,0.2,3500,0.37,0.1,0.1,0.0,0.0,0.0,0.0
Rayjon Tucker,0.2,3700,0.24,0.1,0.1,0.0,0.0,0.0,0.0
Vincent Poirier,0.2,3500,0.21,0.1,0.1,0.0,0.0,0.0,0.0
Rodney McGruder,0.2,3500,0.52,0.1,0.1,0.0,0.0,0.0,0.0
Romeo Langford,0.2,3500,0.38,0.1,0.1,0.0,0.0,0.0,0.0
Troy Daniels,0.1,3500,0.21,0.1,0,0.0,0.0,0.0,0.0
Amir Coffey,0.1,3500,0.41,0.1,0,0.0,0.0,0.0,0.0
Paul Watson,0.0,3500,0.09,0.0,0,0.0,0.0,0.0,0.0
Gary Harris,0.0,3600,0.00,0.0,0,0.0,0.0,0.0,0.0
Oshae Brissett,0.0,3500,0.00,0.0,0,0.0,0.0,0.0,0.0
Will Barton,0.0,3500,0.00,0.0,0,0.0,0.0,0.0,0.0
Joe Harris,0.0,3500,0.00,0.0,0,0.0,0.0,0.0,0.0
Jamal Crawford,0.0,3600,0.00,0.0,0,0.0,0.0,0.0,0.0
Nigel Williams-Goss,0.0,3500,0.17,0.0,0,0.0,0.0,0.0,0.0
Rondae Hollis-Jefferson,0.0,3500,0.00,0.0,0,0.0,0.0,0.0,0.0
Dewan Hernandez,0.0,3500,0.05,0.0,0,0.0,0.0,0.0,0.0
Gordon Hayward,0.0,3500,0.00,0.0,0,0.0,0.0,0.0,0.0
Tacko Fall,0.0,3500,0.05,0.0,0,0.0,0.0,0.0,0.0
Patrick Beverley,0.0,4300,0.00,0.0,0,0.0,0.0,0.0,0.0
Johnathan Motley,0.0,3500,0.03,0.0,0,0.0,0.0,0.0,0.0
Marial Shayok,0.0,3500,0.07,0.0,0,0.0,0.0,0.0,0.0
Glenn Robinson III,0.0,3500,0.00,0.0,0,0.0,0.0,0.0,0.0
Justin Wright-Foreman,0.0,3500,0.11,0.0,0,0.0,0.0,0.0,0.0
Tyler Cook,0.0,3500,0.05,0.0,0,0.0,0.0,0.0,0.0
Jarrell Brantley,0.0,3500,0.11,0.0,0,0.0,0.0,0.0,0.0
