P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Craig Kimbrel (15272854),Craig Kimbrel,15272854,P,6500,CHC@PIT 09/03/2020 01:35PM ET,CHC,1.74
,,,,,,,,,,,SP,Brailyn Marquez (15272855),Brailyn Marquez,15272855,P,6500,CHC@PIT 09/03/2020 01:35PM ET,CHC,0
,,,,,,,,,,,RP,Manuel Rodriguez (15272856),Manuel Rodriguez,15272856,P,6500,CHC@PIT 09/03/2020 01:35PM ET,CHC,0
,,,,,,,,,,,RP,Rex Brothers (15272857),Rex Brothers,15272857,P,6500,CHC@PIT 09/03/2020 01:35PM ET,CHC,3.12
,,,,,,,,,,,RP,Brad Wieck (15272858),Brad Wieck,15272858,P,6500,CHC@PIT 09/03/2020 01:35PM ET,CHC,1.05
,,,,,,,,,,,RP,Casey Sadler (15272860),Casey Sadler,15272860,P,6500,CHC@PIT 09/03/2020 01:35PM ET,CHC,1.74
,,,,,,,,,,,RP,Ryan Tepera (15272861),Ryan Tepera,15272861,P,6500,CHC@PIT 09/03/2020 01:35PM ET,CHC,3.79
,,,,,,,,,,,SP,Kolby Allard (15272859),Kolby Allard,15272859,P,6500,TEX@HOU 09/03/2020 02:10PM ET,TEX,8.84
,,,,,,,,,,,RP,Jonathan Hernandez (15272862),Jonathan Hernandez,15272862,P,6400,TEX@HOU 09/03/2020 02:10PM ET,TEX,5.40
,,,,,,,,,,,SP,Chris Stratton (15272863),Chris Stratton,15272863,P,6300,CHC@PIT 09/03/2020 01:35PM ET,PIT,3.69
,,,,,,,,,,,SP,Derek Holland (15272690),Derek Holland,15272690,P,6200,CHC@PIT 09/03/2020 01:35PM ET,PIT,9.31
,,,,,,,,,,,SP,Kyle Gibson (15272864),Kyle Gibson,15272864,P,6100,TEX@HOU 09/03/2020 02:10PM ET,TEX,9.76
,,,,,,,,,,,SP,Trevor Williams (15272865),Trevor Williams,15272865,P,6000,CHC@PIT 09/03/2020 01:35PM ET,PIT,9.86
,,,,,,,,,,,SP,Joe Musgrove (15272866),Joe Musgrove,15272866,P,5700,CHC@PIT 09/03/2020 01:35PM ET,PIT,9.44
,,,,,,,,,,,RP,JT Brubaker (15272867),JT Brubaker,15272867,P,5700,CHC@PIT 09/03/2020 01:35PM ET,PIT,8.6
,,,,,,,,,,,OF,Yordan Alvarez (15272759),Yordan Alvarez,15272759,OF,5500,TEX@HOU 09/03/2020 02:10PM ET,HOU,13.5
,,,,,,,,,,,RP,Steven Brault (15272870),Steven Brault,15272870,P,5400,CHC@PIT 09/03/2020 01:35PM ET,PIT,5.1
,,,,,,,,,,,RP,Jose Leclerc (15272868),Jose Leclerc,15272868,P,5400,TEX@HOU 09/03/2020 02:10PM ET,TEX,3.05
,,,,,,,,,,,RP,Joe Palumbo (15272869),Joe Palumbo,15272869,P,5400,TEX@HOU 09/03/2020 02:10PM ET,TEX,2.82
