QB,RB,RB,WR,WR,WR,TE,FLEX,D
Justin Herbert 52101-69189,Austin Ekeler 52101-80001,Wayne Gallman Jr. 52101-39818,Brandin Cooks 52101-29501,Cooper Kupp 52101-79970,Mike Williams 52101-39829,Hunter Henry 52101-40845,Derrick Henry 52101-39280,123.30000000000001,
Justin Herbert 52101-69189,Derrick Henry 52101-39280,Austin Ekeler 52101-80001,Keenan Allen 52101-29253,Mike Williams 52101-39829,Keke Coutee 52101-64242,Hunter Henry 52101-40845,Wayne Gallman Jr. 52101-39818,121.3,
Cam Newton 52101-14185,Derrick Henry 52101-39280,Wayne Gallman Jr. 52101-39818,Brandin Cooks 52101-29501,Jakobi Meyers 52101-63634,Damiere Byrd 52101-30678,Darren Waller 52101-25011,Austin Ekeler 52101-80001,124.79999999999998,
Cam Newton 52101-14185,Derrick Henry 52101-39280,Alvin Kamara 52101-42104,Jarvis Landry 52101-31394,Jakobi Meyers 52101-63634,Damiere Byrd 52101-30678,Darren Waller 52101-25011,Austin Ekeler 52101-80001,122.19999999999999,
Aaron Rodgers 52101-6894,Derrick Henry 52101-39280,Austin Ekeler 52101-80001,Allen Robinson II 52101-28643,Brandin Cooks 52101-29501,Keke Coutee 52101-64242,Darren Waller 52101-25011,Jamaal Williams 52101-45631,123.19999999999999,
Taysom Hill 52101-45565,Alvin Kamara 52101-42104,Austin Ekeler 52101-80001,Allen Robinson II 52101-28643,Michael Thomas 52101-28573,Brandin Cooks 52101-29501,Darren Waller 52101-25011,Wayne Gallman Jr. 52101-39818,125.3,
Taysom Hill 52101-45565,Alvin Kamara 52101-42104,Austin Ekeler 52101-80001,Michael Thomas 52101-28573,Brandin Cooks 52101-29501,Jarvis Landry 52101-31394,Darren Waller 52101-25011,Wayne Gallman Jr. 52101-39818,121.10000000000001,
Jared Goff 52101-38435,Austin Ekeler 52101-80001,Wayne Gallman Jr. 52101-39818,Robert Woods 52101-29685,Cooper Kupp 52101-79970,Keke Coutee 52101-64242,Darren Waller 52101-25011,Derrick Henry 52101-39280,124.89999999999999,
Jared Goff 52101-38435,Austin Ekeler 52101-80001,Wayne Gallman Jr. 52101-39818,Brandin Cooks 52101-29501,Robert Woods 52101-29685,Cooper Kupp 52101-79970,Tyler Higbee 52101-47870,Derrick Henry 52101-39280,122.5,
Derek Carr 52101-45859,Derrick Henry 52101-39280,Austin Ekeler 52101-80001,Brandin Cooks 52101-29501,Jarvis Landry 52101-31394,Nelson Agholor 52101-29683,Darren Waller 52101-25011,D'Andre Swift 52101-91598,124.7,
